Main ID,Incident ID,Incident Type,Region of Incident,Website Date,Incident year,Reported Month,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Cause of Death,Country of Origin,Migration route,Location of death,Information Source,Coordinates,UNSD Geographical Grouping,Article title,Source Quality,URL
2021.MMP00013,2021.MMP00013,Incident,Central America,2021-01-04,2021,January,1.0,,1,,,1.0,,Caribbean,Drowning,Haiti,US-Mexico border crossing,"Rio Bravo, Acuña, Coahuila, Mexico",Zócalo,"29.32804465, -100.9316879",Central America,Arroja el río Bravo cuerpo de ahogado,1.0,https://archive.vn/ACH8L
2021.MMP00030,2021.MMP00030,Incident,Central America,2021-01-08,2021,January,1.0,,1,,,1.0,,Central America,Drowning,Mexico,US-Mexico border crossing,"Rio Bravo, Piedras Negras, Coahuila, Mexico",La Rancherita del Aire,"28.713166, -100.5093583",Central America,Recuperan cuerpo de hombre ahogado en el río Bravo en Piedras Negras,1.0,https://archive.vn/hZhk6
2021.MMP00032,2021.MMP00032,Incident,North America,2021-01-08,2021,January,1.0,,1,,1.0,,,Caribbean,Drowning,Haiti,US-Mexico border crossing,"Rio Bravo at Del Rio, Val Verde County, Texas, USA",US Border Patrol,"29.33161137, -100.9372101",Northern America,Agents Recover Body of Pregnant Woman From Rio Grande,5.0,https://archive.vn/DrmB6
2021.MMP00033,2021.MMP00033,Incident,North America,2021-01-08,2021,January,1.0,,1,,,1.0,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Picosa Creek Ranch, Eagle Pass, Maverick County, Texas, USA",Maverick County Sheriff's Department,"28.697183, -100.3980824",Northern America,,5.0,https://archive.vn/S1KQj
2021.MMP00035,2021.MMP00035,Incident,Central America,2021-01-09,2021,January,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Colonia Zaragoza, Piedras Negras, Coahuila, Mexico",Zócalo,"28.7117767, -100.5134411",Central America,Muere el segundo migrante del año en el río Bravo en Coahuila,1.0,https://archive.vn/4HYn2
2021.MMP00053,2021.MMP00053,Incident,North America,2021-01-19,2021,January,1.0,,1,,,1.0,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Honduras,US-Mexico border crossing,"In a ranch located west of the city of Falfurrias, Brooks County, Texas, USA",Breitbart,"27.2269872, -98.1441714",Northern America,Migrant’s Body Found on Texas Ranch 90 Miles from Southern Border,1.0,https://archive.vn/NnAaA
2021.MMP00058,"2021.MMP0005863,2021.MMP0005864,2021.MMP0005865",Split Incident,Central America,2021-01-22,2021,January,19.0,,19,,3.0,9.0,1.0,Latin America / Caribbean (P),Violence,"Guatemala,Mexico,Unknown",US-Mexico border crossing,"Remains found at Santa Anita, Camargo municipality, Tamaulipas, Mexico","Reuters, BBC, Animal Político, Institituto Nacional de Migración México, Ministerio de Relaciones Exteriores Guatemala, Milenio,","26.06148611, -98.79338179",Central America,"Mexican authorities recover 19 bodies, some shot and burned, in remote area",3.0,"https://archive.vn/spLlb,https://archive.vn/TmZ2Q"
2021.MMP00072,2021.MMP00072,Incident,Central America,2021-01-26,2021,January,1.0,,1,,,1.0,,Central America,Vehicle accident / death linked to hazardous transport,Mexico,US-Mexico border crossing,"Nava municipality, Coahuila, Mexico","La Prensa de Coahuila, La Rancherita del Aire","28.4242507, -100.7646846",Central America,Muere migrante en accidente carretero,3.0,https://archive.ph/vzXXE
2021.MMP00085,2021.MMP00085,Incident,North America,2021-01-29,2021,January,1.0,,1,,,1.0,,Caribbean,Violence,Cuba,US-Mexico border crossing,"Approximately one mile away from the Hidalgo Port of Entry,  Hidalgo County, Texas, USA","US Border Patrol, Cubanos por el mundo","26.1087466, -98.2652505",Northern America,"UPDATE: CBP Statement on Agent Involved Fatal Shooting in Hidalgo, TX",5.0,https://archive.vn/CCBfc
2021.MMP00086,2021.MMP00086,Incident,North America,2021-01-29,2021,January,1.0,,1,16.0,,,,Central America,Drowning,Mexico,US-Mexico border crossing,"In a drainage cannal in San Ysidro, San Diego County, California, USA",Mexican Consulate in San Diego,"32.54143422, -117.0448118",Northern America,El Consulado General de México en San Diego informa sobre incidente fronterizo en San Ysidro,5.0,https://archive.vn/709Ux
2021.MMP00092,2021.MMP00092,Incident,Central America,2021-02-02,2021,February,2.0,,2,,,2.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, Ejido El Refugio, Matamoros, Tamaulipas, Mexico",Hoy Tamaulipas,"25.84591716, -97.37103277",Central America,Flotan dos cadáveres en el río Bravo en Matamoros,1.0,https://archive.vn/VDt27
2021.MMP00104,2021.MMP00104,Incident,Central America,2021-02-08,2021,February,,1.0,1,,,1.0,,Central America,Drowning,Mexico,US-Mexico border crossing,"Rio Bravo, Piedras Negras, Coahuila, Mexico","Zócalo, Super Channel 12","28.713166, -100.5093583",Central America,Lo arrastra el Bravo y muere un migrante,3.0,https://archive.vn/DetQ6
2021.MMP00105,2021.MMP00105,Incident,North America,2021-02-09,2021,February,,1.0,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Eagle Pass, Maverick County, Texas, USA","Zócalo, GM Noticias","28.71317365, -100.5068478",Northern America,Border Patrol rescata el cuerpo de un hombre flotando en el río.,3.0,https://archive.vn/IJc0Y
2021.MMP00119,2021.MMP00119,Incident,Central America,2021-02-16,2021,February,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, Patinadero, Nuevo Laredo, Tamaulipas, Mexico","Vox Populi Noticias, Nuevo Laredo TV","27.4790481, -99.4814057",Central America,Flota cadaver en el río Bravo en NLD; la primera víctima del 2021,3.0,https://archive.vn/7Ud80
2021.MMP00120,2021.MMP00120,Incident,Central America,2021-02-17,2021,February,1.0,,1,3.0,,1.0,1.0,Central America,Drowning,Honduras,US-Mexico border crossing,"Rio Bravo, colonia Morelos, Piedras Negras, Coahuila, Mexico",Instituto Nacional de Migración (Grupos Beta),"28.6805128, -100.5078173",Central America,Grupos Beta del INM recuperan cuerpo de menor hondureño en el río Bravo,5.0,https://archive.vn/FkQBM
2021.MMP00121,2021.MMP00121,Incident,Central America,2021-02-17,2021,February,1.0,,1,,1.0,,,South America,Drowning,Venezuela (Bolivarian Republic of),US-Mexico border crossing,"Rio Bravo, colonia Morelos, Piedras Negras, Coahuila, Mexico",Instituto Nacional de Migración (Grupos Beta),"28.6805128, -100.5078173",Central America,Grupo Beta Piedras Negras recupera cuerpo de una mujer migrante en las aguas del río Bravo,5.0,https://archive.vn/DdPWU
2021.MMP00124,2021.MMP00124,Incident,North America,2021-02-18,2021,February,1.0,,1,,,,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Unspecified location in the Big Bend Border Patrol Sector, Texas, USA",US Border Patrol,"29.3222273, -103.2068216",Northern America,Border Patrol Saves Lives During Historic Winter Storm,5.0,https://archive.vn/4Ob4N
2021.MMP00130,2021.MMP00130,Incident,North America,2021-02-22,2021,February,4.0,,4,,,,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Unspecified location in the Big Bend Border Patrol Sector, Texas, USA",US Border Patrol,"29.36820243, -103.7272989",Northern America,Woman Left for Dead in Winter Storm,5.0,https://archive.vn/o1AOC
2021.MMP00131,2021.MMP00131,Incident,North America,2021-02-20,2021,February,1.0,,1,,1.0,,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Unspecified location in Texas, USA",The Washington Times ,"28.36796911, -99.30855138",Northern America,Migrant smugglers take advantage of Texas deep freeze,1.0,https://archive.vn/A0jv7
2021.MMP00132,2021.MMP00132,Incident,North America,2021-02-11,2021,February,1.0,,1,,,1.0,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Honduras,US-Mexico border crossing,"Near Rio Bravo, outside municipal golf course and minigolf, Eagle Pass, Maverick County, Texas",Zócalo,"28.7019633, -100.5048585",Northern America,Hallan muerto a un migrante en campo de golf,1.0,https://archive.ph/3mWp9
2021.MMP00149,2021.MMP00149,Incident,Central America,2021-03-13,2021,March,1.0,,1,1.0,1.0,,,Central America,Drowning,Honduras,US-Mexico border crossing,"At the border wall, Tijuana, Baja California, Mexico","Milenio, Univision","32.53288558, -117.1233625",Central America,Hondureña murió ahogada al intentar cruzar frontera de Tijuana a San Diego,3.0,https://archive.ph/NrnN4
2021.MMP00151,2021.MMP00151,Incident,Central America,2021-02-27,2021,February,1.0,,1,,,1.0,,Central America,Drowning,Mexico,US-Mexico border crossing,"Rio Bravo, Patinadero, Nuevo Laredo, Tamaulipas, Mexico",Lider Web,"27.4790538, -99.4814315",Central America,Recuperan en el Bravo cuerpo de migrante,1.0,https://archive.vn/wB3pe
2021.MMP00152,2021.MMP00152,Incident,Central America,2021-03-01,2021,March,1.0,,1,,,1.0,,Central America,Drowning,Honduras,US-Mexico border crossing,"Rio Bravo, Ejido Santo Domingo, Piedras Negras, Coahuila, Mexico","GMNoticias, La Voz de Coahuila","28.65812669, -100.5017234",Central America,Entregarán cuerpo de hondureño ahogado en el río Bravo,3.0,https://archive.vn/j4lNO
2021.MMP00153,2021.MMP00153,Incident,North America,2021-02-26,2021,February,2.0,,2,,,2.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, close to International Brigde I, Eagle Pass, Maverick County, Texas, USA",La Voz de Coahuila,"28.70516695, -100.5113856",Northern America,HALLAN DOS CUERPOS EN EL RÍO BRAVO,1.0,https://archive.vn/s9zPH
2021.MMP00155,"2021.MMP00155155,2021.MMP00155156,2021.MMP00155157",Split Incident,North America,2021-03-03,2021,March,13.0,,13,12.0,3.0,,,Central America,Vehicle accident / death linked to hazardous transport,"Guatemala,Mexico,Unknown",US-Mexico border crossing,"On State Route 115, about 20 miles south of Holtville, Imperial County, California, USA","US Border Patrol, Consulado de México en Calexico, The New York Times, CBS News, USA Today, Zocalo","32.78367772, -115.2984346",Northern America,"Migrants in Deadly Crash Had Crossed Through Border Wall, Officials Say",5.0,"https://archive.ph/pPPIc,https://archive.vn/8cz1p"
2021.MMP00179,2021.MMP00179,Incident,North America,2021-03-10,2021,March,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"In custody of US Customs and Border Protection in El Paso, El Paso County, Texas, USA",US Border Patrol,"31.7618778, -106.4850217",Northern America,"CBP Statement on Death in Custody at Eagle Pass, TX",5.0,https://archive.ph/Aibgh
2021.MMP00181,2021.MMP00181,Incident,Central America,2021-03-13,2021,March,1.0,,1,,,,,Caribbean,Accidental death,Cuba,US-Mexico border crossing,"Unspecified location by the border wall, close to Tecate, Baja California, Mexico",Instituto Nacional de Migración,"32.57929447, -116.5934173",Central America,,5.0,https://archive.ph/WRrVg
2021.MMP00185,2021.MMP00185,Incident,Central America,2021-03-09,2021,March,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo by the Cougars sports field, Piedras Negras, Coahuila, Mexico",GMN Noticias,"28.7125063, -100.5096557",Central America,No ha sido identificado hombre ahogado en el río Bravo,1.0,https://archive.ph/VW6Xf
2021.MMP00187,2021.MMP00187,Incident,North America,2021-03-15,2021,March,8.0,,8,1.0,1.0,7.0,,Central America,Vehicle accident / death linked to hazardous transport,Mexico,US-Mexico border crossing,"During police pursuit on US-277 highway, 30 miles north of Del Rio, Val Verde County, Texas, USA","AP, K911, Telemundo, KSAT","29.45061979, -100.9088278",Northern America,"8 undocumented persons killed in head-on collision in Val Verde County, officials say",3.0,https://archive.ph/lSyWz
2021.MMP00191,2021.MMP00191,Incident,Central America,2021-03-16,2021,March,2.0,,2,,1.0,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, Claudet, Nuevo Laredo, Tamaulipas, Mexico","USBP, New York Post, Hoy Tamaulipas, VOX Populi","27.52306085, -99.52574841",Central America,"Se ahogan 2 migrantes en el río Bravo tras eludir captura, al oeste de Laredo, Texas",3.0,https://www.facebook.com/usbpchieflrt/posts/256172012813713
2021.MMP00201,2021.MMP00201,Incident,North America,2021-03-20,2021,March,1.0,,1,2.0,1.0,,1.0,Central America,Drowning,Mexico,US-Mexico border crossing,"Rio Bravo, Eagle Pass, Maverick County, Texas, USA","US Border Patrol, Noticieros Televisa, Zócalo","28.7091433, -100.4995214",Northern America,Niña muere ahogada en el Río Bravo tras intentar cruzar a EEUU,3.0,https://archive.ph/3ZeCR
2021.MMP00204,2021.MMP00204,Incident,Central America,2021-03-03,2021,March,1.0,,1,,,1.0,,Central America,Violence,El Salvador,US-Mexico border crossing,"Ejido Florida de Norte, San Fernando, Tamaulipas, Mexico",La Tarde,"25.0580555, -98.2641668",Central America,Identifican cadáver de joven asesinado,1.0,https://archive.ph/sL7B5
2021.MMP00207,2021.MMP00207,Incident,Central America,2021-03-23,2021,March,1.0,,1,1.0,,1.0,,Caribbean,Drowning,Cuba,US-Mexico border crossing,"Playas de Tijuana, Tijuana, Baja California, Mexico","Periódico Cubano, El Imparcial","32.52426274, -117.1234483",Central America,Fallece un cubano que intentó cruzar a EEUU por Playas de Tijuana,3.0,https://archive.ph/J3On2
2021.MMP00210,2021.MMP00210,Incident,North America,2021-03-27,2021,March,1.0,,1,,,1.0,,Central America,Sickness / lack of access to adequate healthcare,Guatemala,US-Mexico border crossing,"At the Carondelet St. Joseph’s Hospital in Tucson, Pima County, Arizona, USA - after being apprehended by the US Border Patrol on 25 March and held at the Tucson Coordination Center",US Border Patrol,"32.2265083, -110.8547917",Northern America,CBP Statement on Tucson Sector In-Custody-Death,5.0,https://archive.ph/Lolki
2021.MMP00222,2021.MMP00222,Incident,Central America,2021-04-05,2021,April,1.0,,1,,1.0,,,Central America,Vehicle accident / death linked to hazardous transport,El Salvador,US-Mexico border crossing,"General Galeana Hospital in Monterrey, Nuevo Leon, Mexico","El Salvador, Cronio","25.675342, -100.319587",Central America,"Muere migrante salvadoreña en vuelco de bus en Monterrey, Nuevo León, México",3.0,https://archive.ph/R2sA6
2021.MMP00230,2021.MMP00230,Incident,Central America,2021-04-01,2021,April,1.0,,1,,,1.0,,Central America,Drowning,Guatemala,US-Mexico border crossing,"Rio Bravo, Reynosa Diaz Tamaulipas, Mexico","El Mañana, Hoy Tamaulipas","26.203085, -98.445107",Central America,Rescatan cadáver de hombre en el río Bravo en Reynosa,3.0,https://archive.ph/K55wN
2021.MMP00234,2021.MMP00234,Incident,North America,2021-04-03,2021,April,1.0,,1,,1.0,,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,US-Mexico border crossing,"Unspecified location in Yuma County, Arizona, USA",US Border Patrol,"32.36842579, -114.0338755",Northern America,"CBP Statement on Death in Arizona, Not in Custody",5.0,https://archive.ph/v2ryh
2021.MMP00235,2021.MMP00235,Incident,North America,2021-04-10,2021,April,1.0,,1,,1.0,,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,US-Mexico border crossing,"Unspecified location south of Carrizo Springs, Dimmit County, Texas, USA","Breitbart, Pulso","28.50887928, -99.8698853",Northern America,Lost Migrant Woman Dies After Crossing Border into Texas,3.0,https://archive.ph/Lv7rX
2021.MMP00236,2021.MMP00236,Incident,North America,2021-04-06,2021,April,1.0,,1,,1.0,,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,US-Mexico border crossing,"South of the Falfurrias Border Patrol checkpoint, Brooks County, Texas, USA",Breitbart,"27.18569377, -98.14724414",Northern America,"Migrant Woman Rescued on Texas Ranch near Border, Another Woman Dies",1.0,https://archive.ph/40b7G
2021.MMP00237,2021.MMP00237,Incident,Central America,2021-04-13,2021,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Violence,Unknown,US-Mexico border crossing,"Boulevard Aeropuerto, Venustiano Carranza, Piedras Negras, Coahuila, Mexico",Zócalo,"28.68713093, -100.553353",Central America,Se suicida un migrante en empresa de transporte,1.0,https://archive.ph/fNyt8
2021.MMP00238,2021.MMP00238,Incident,Central America,2021-04-11,2021,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Río Bravo, Piedras Negras, Coahuila, Mexico",Zócalo,"28.72296727, -100.508408",Central America,Hallan a migrante ahogado en el Bravo,1.0,https://archive.ph/KEbWX
2021.MMP00239,2021.MMP00239,Incident,Central America,2021-04-09,2021,April,1.0,,1,,1.0,,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Río Bravo, Colonia Santa María, Piedras Negras, Coahuila, Mexico",Zócalo,"28.72296727, -100.508408",Central America,,1.0,https://archive.ph/30Ivk
2021.MMP00241,2021.MMP00241,Incident,Central America,2021-03-22,2021,March,1.0,,1,,,1.0,,Central America,Drowning,Mexico,US-Mexico border crossing,"Remains recovered from the All-American Canal, near Holtville,  Imperial County, California, USA",KYMA,"32.67217596, -115.4387852",Northern America,Border crossing deaths continue to increase,1.0,https://archive.ph/utpXq
2021.MMP00243,2021.MMP00243,Incident,North America,2021-04-13,2021,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Vehicle accident / death linked to hazardous transport,Unknown,US-Mexico border crossing,"At the intersection of Mangana Hein Road and U.S. Highway 83 north, Laredo, Webb County, Texas","Nuevo Laredo TV, KGNS","27.40052071, -99.47846336",Northern America,"Muere indocumentado atropellado en Laredo, Texas",3.0,https://archive.ph/BUlIZ
2021.MMP00244,2021.MMP00244,Incident,Central America,2021-04-13,2021,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, International Bridge III, Nuevo Laredo, Tamaulipas, Mexico",Hoy Tamaulipas,"27.59686845, -99.53709649",Central America,Recuperan cadáver del río Bravo en Nuevo Laredo,1.0,https://archive.ph/kjAkP
2021.MMP00247,2021.MMP00247,Incident,Central America,2021-04-13,2021,April,1.0,,1,,,,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, Puente Internacional Reynosa-Hidalgo, Reynosa, Tamaulipas, Mexico","En Linea Directa, El Mañana","26.09530107, -98.27225471",Central America,Rescatan cadáver de las aguas del rio Bravo,3.0,https://archive.ph/nAbRE
2021.MMP00268,2021.MMP00268,Incident,North America,2021-04-17,2021,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Near Hebbronville, Jim Hogg County, Texas, USA",US Border Patrol,"27.28385151, -98.68701863",Northern America,"CBP Statement on Death in Custody near Hebbronville, TX",5.0,https://archive.ph/qMYLV
2021.MMP00269,2021.MMP00269,Incident,North America,2021-04-16,2021,April,1.0,,1,,1.0,,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Honduras,US-Mexico border crossing,"McAllen Medical Center, McAllen, Hidalgo County, Texas, USA",US Border Patrol,"26.1865678, -98.22579399",Northern America,"In Custody Death of Female Honduran in Rio Grande Valley, Texas",5.0,https://archive.ph/jR1CR
2021.MMP00270,2021.MMP00270,Incident,North America,2021-04-15,2021,April,1.0,,1,,,,,Latin America / Caribbean (P),Vehicle accident / death linked to hazardous transport,Unknown,US-Mexico border crossing,"Approximately 40 miles from the US-Mexico border, near San Manuel, Hidalgo County, Texas, USA ",US Border Patrol,"26.65278451, -98.11397627",Northern America,"Fleeing Suspect Struck and Killed by Vehicle near San Manuel, Texas",5.0,https://archive.ph/kSVas
2021.MMP00283,2021.MMP00283,Incident,North America,2021-04-22,2021,April,1.0,,1,12.0,,1.0,,Central America,Vehicle accident / death linked to hazardous transport,Mexico,US-Mexico border crossing,"Close to the intersection of U.S. 83 and Texas 44 highways, Webb County, Texas, USA",LMT Online,"28.02611051, -99.54236303",Northern America,Migrant dies in failed human smuggling attempt north of Laredo,1.0,https://archive.ph/kQWyu
2021.MMP00292,2021.MMP00292,Incident,North America,2021-05-02,2021,May,4.0,,4,25.0,2.0,1.0,,Central America,Drowning,Mexico,US-Mexico border crossing,"Off the coast of Point Loma, San Diego County, California, USA","US Coast Guard, BBC, San Diego County Medical Examiner's Office","32.66161, -117.247942",Uncategorized,"Coast Guard, partner agencies respond to overturned vessel near Point Loma",5.0,https://archive.vn/nTR9H
2021.MMP00293,2021.MMP00293,Incident,North America,2021-04-29,2021,April,1.0,,1,1.0,,1.0,,Central America,Vehicle accident / death linked to hazardous transport,Honduras,US-Mexico border crossing,"Near Kingsville, Kenedy County, Texas, USA",US Border Patrol,"27.50628075, -97.84180735",Northern America,"Honduran National Dies of Vehicle Incident Near Kingsville, Texas",5.0,https://archive.ph/vjWoC
2021.MMP00294,2021.MMP00294,Incident,North America,2021-04-03,2021,April,1.0,,1,,,1.0,,Caribbean,Drowning,Cuba,US-Mexico border crossing,"Río Bravo, Laredo, Webb County, Texas, USA","14ymedio, asere","27.5226717, -99.52217022",Northern America,Otro migrante cubano muere ahogado al intentar cruzar el río Bravo hacia Estados Unidos,3.0,https://archive.ph/8gkgY
2021.MMP00295,2021.MMP00295,Incident,North America,2021-04-29,2021,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Accidental death,Unknown,US-Mexico border crossing,"Three miles east of the Otay Mesa Land Port of Entry, San Diego County, California, USA","The San Diego Union Tribune, NBC San Diego, San Diego County Medical Examiner's Office","32.554722, -116.887778",Northern America,Body Discovered Near U.S.-Mexico Border in Otay Mesa,5.0,https://archive.ph/Mx6en
2021.MMP00300,2021.MMP00300,Incident,Central America,2021-04-22,2021,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, Gustavo Diaz Ordaz, Tamaulipas, Mexico","La Prensa, El Cinco","26.25732783, -98.59817457",Central America,Localizan persona ahogada en el río Bravo,3.0,https://archive.ph/89OGs
2021.MMP00301,2021.MMP00301,Incident,Central America,2021-04-23,2021,April,1.0,,1,,,1.0,,Central America,Drowning,Mexico,US-Mexico border crossing,"Rio Bravo, near La Vega Ranch, Piedras Negras, Coahuila, Mexico","GMN Noticias, Breitbart, La Rancherita, Zócalo","28.72884175, -100.5094583",Central America,Ya identificaron al hombre ahogado que vestía pasamontañas y ropa táctica,3.0,https://archive.ph/RPLC0
2021.MMP00302,2021.MMP00302,Incident,Central America,2021-04-24,2021,April,1.0,,1,,,1.0,,Central America,Drowning,Honduras,US-Mexico border crossing,"Rio Bravo, near Jimenez, Piedras Negras, Coahuila, Mexico",Breitbart,"28.70492867, -100.5123343",Central America,GRAFICO: Autoridades Mexicanas Encuentran Dos Migrantes Ahogados en el Rio Bravo,1.0,https://archive.ph/1JSsF
2021.MMP00303,2021.MMP00303,Incident,Central America,2021-04-25,2021,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, near Ciudad Acuña, Coahuila, Mexico",Breitbart,"29.32384331, -100.9195537",Central America,GRAFICO: Autoridades Mexicanas Encuentran Dos Migrantes Ahogados en el Rio Bravo,1.0,https://archive.ph/1JSsF
2021.MMP00304,2021.MMP00304,Incident,Central America,2021-04-26,2021,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, near Ejido El Moral, Piedras Negras, Coahuila, Mexico","Breitbart, La Rancherita, Zócalo","28.70492867, -100.5123343",Central America,Mueren 3 migrantes ahogados en el Bravo,3.0,https://archive.ph/LRRFa
2021.MMP00305,2021.MMP00305,Incident,Central America,2021-04-27,2021,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, near Santa María neighborhood, Piedras Negras, Coahuila, Mexico","Breitbart, La Rancherita, Zócalo","28.70492867, -100.5123343",Central America,Mueren 3 migrantes ahogados en el Bravo,3.0,https://archive.ph/LRRFa
2021.MMP00317,2021.MMP00317,Incident,Central America,2021-04-23,2021,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, near Ejido Corrales, Reynosa, Tamaulipas Mexico",La Tarde,"26.07712504, -98.22456289",Central America,Muere migrante en el río Bravo,1.0,https://archive.ph/5ImMn
2021.MMP00319,2021.MMP00319,Incident,North America,2021-05-04,2021,May,1.0,,1,,1.0,,,Central America,Vehicle accident / death linked to hazardous transport,Guatemala,US-Mexico border crossing,"Unspecified location in the Big Bend Border Patrol Sector, Terrell County, Texas, USA","Ministerio de Relaciones Exteriores d Guatemala, Univision, El Periódico","29.36820243, -103.7272989",Northern America,Red Consular de Guatemala da seguimiento al caso de guatemalteca fallecida en su intento de ingresar a EEUU,5.0,https://archive.ph/erKc4
2021.MMP00320,2021.MMP00320,Incident,Central America,2021-05-04,2021,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, Morelos neighborhood, Piedras Negras, Coahuila, Mexico",K911,"28.68098753, -100.5076016",Central America,"En Piedras Negras, Coahuila, recuperan cuerpo de hombre ahogado en el río Bravo ",1.0,https://archive.ph/KZD5X
2021.MMP00321,2021.MMP00321,Incident,Central America,2021-04-03,2021,April,1.0,,1,,,1.0,,Central America,Drowning,Mexico,US-Mexico border crossing,"Rio Bravo, Ejido El Centinela, close to Piedras Negras, Coahuila, Mexico","Zócalo, GMNoticias","28.79838818, -100.5363082",Central America,"Localizan migrante ahogado en El Centinela, al norte de Piedras Negras",3.0,https://archive.ph/RBuSZ
2021.MMP00338,2021.MMP00338,Incident,North America,2021-01-30,2021,January,1.0,,1,,,1.0,,South America,"Harsh environmental conditions / lack of adequate shelter, food, water",Ecuador,US-Mexico border crossing,"Unspecified location in the desert in Arizona, USA",Ministry of Foreign Affairs Ecuador,"32.55086017, -113.7245521",Northern America,Cancillería apoya en la repatriación del cuerpo de ciudadano ecuatoriano encontrado perdido en el desierto,5.0,https://archive.ph/vzW3m
2021.MMP00350,2021.MMP00350,Incident,North America,2021-05-14,2021,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Violence,Unknown,US-Mexico border crossing,"At the intersection of State Route 94 and Buckman Springs Road in Campo, San Diego County, California, USA","US Border Patrol, NBC San Diego","32.62844, -116.4721918",Northern America,"Agent-involved Fatal Shooting in Campo, California",5.0,https://archive.ph/dzmYD
2021.MMP00353,2021.MMP00353,Incident,Central America,2021-05-02,2021,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, approximately 29 miles southeast of Piedras Negras, Coahuila, Mexico",Breitbart,"28.3473325, -100.3153453",Central America,Otro Migrante Muere Ahogado en Coahuila – 54 en 2021,1.0,https://archive.ph/N8qSU
2021.MMP00356,2021.MMP00356,Incident,North America,2021-05-20,2021,May,1.0,,1,16.0,,1.0,,Central America,Drowning,Mexico,US-Mexico border crossing,"Remains found at Wipeout Beach, La Jolla, San Diego County, California, USA","The San Diego Union Tribune, Associated Press, CNN","32.8478017, -117.2787884",Uncategorized,1 dead off San Diego coast in apparent smuggling attempt,3.0,https://archive.ph/bLgcU
2021.MMP00357,2021.MMP00357,Incident,North America,2021-05-25,2021,May,1.0,,1,1.0,,1.0,,Central America,Sickness / lack of access to adequate healthcare,Mexico,US-Mexico border crossing,"At the San Antonio Methodist Hospital, San Antonio, Bexar County, Texas, USA - After crossing the border close to Carrizo Springs, Texas",US Border Patrol,"29.5071504, -98.57243481",Northern America,In-Custody Death,5.0,https://archive.ph/PFQbm
